Municipios|Distritos|Secciones|Sexo|Nacionalidad|Distribución de la renta por unidad de consumo|Periodo|Total
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 5.000 Euros|2019|.
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 5.000 Euros|2018|.
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 5.000 Euros|2017|""
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 5.000 Euros|2016|""
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 7.500 Euros|2019|.
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 7.500 Euros|2018|.
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 7.500 Euros|2017|""
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 7.500 Euros|2016|""
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 10.000 Euros|2019|.
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 10.000 Euros|2018|.
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 10.000 Euros|2017|""
20001 Abaltzisketa|||Total|Española|Población con ingresos por unidad de consumo por debajo del 10.000 Euros|2016|""
20001 Abaltzisketa|||Total|Extranjera|Población con ingresos por unidad de consumo por debajo del 5.000 Euros|2019|.
20001 Abaltzisketa|||Total|Extranjera|Población con ingresos por unidad de consumo por debajo del 5.000 Euros|2018|.
20001 Abaltzisketa|||Total|Extranjera|Población con ingresos por unidad de consumo por debajo del 5.000 Euros|2017|""
20001 Abaltzisketa|||Total|Extranjera|Población con ingresos por unidad de consumo por debajo del 5.000 Euros|2016|""
20001 Abaltzisketa|||Total|Extranjera|Población con ingresos por unidad de consumo por debajo del 7.500 Euros|2019|.
